lesson,mold1_ru,mold1_en,mold2_ru,mold2_en,m1_ex1_ru,m1_ex1_en,m1_ex2_ru,m1_ex2_en,m1_ex3_ru,m1_ex3_en,m1_ex4_ru,m1_ex4_en,m1_ex5_ru,m1_ex5_en,m2_ex1_ru,m2_ex1_en,m2_ex2_ru,m2_ex2_en,m2_ex3_ru,m2_ex3_en,m2_ex4_ru,m2_ex4_en,m2_ex5_ru,m2_ex5_en,exercise,tags
53,(кто-то) не готов(а) + инфинитив,(someone) isn't ready to…,(кому-то) приятно + инфинитив,It's pleasant for (someone) to…,он не готов(а) повторить ещё раз,he isn't ready to repeat again,ты не готов(а) поговорить с ней,you isn't ready to talk to her,мы не готов(а) начать учиться,we isn't ready to start studying,они не готов(а) выйти на прогулку,they isn't ready to go for a walk,я не готов(а) поговорить с ним,I isn't ready to talk to him,нам приятно записать аудио,It's pleasant for we to record audio,им приятно поговорить с ней,It's pleasant for they to talk to her,мне приятно выйти на прогулку,It's pleasant for I to go for a walk,тебе приятно лечь спать пораньше,It's pleasant for you to go to bed earlier,ему приятно поговорить с ним,It's pleasant for he to talk to him,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L053.m4a",SoarSystem::L053
54,"(кто-то) слышал(а), что…",(someone) heard that…,"Так вышло, что…",It so happened that…,"мы слышал(а), что я не хочу спорить.",we heard that I don't want to argue.,"я слышал(а), что он просто устал.",I heard that he's just tired.,"он слышал(а), что он просто устал.",he heard that he's just tired.,"она слышал(а), что он просто устал.",she heard that he's just tired.,"они слышал(а), что она права.",they heard that she's right.,"Так вышло, что мне нужно больше времени.",It so happened that I need more time.,"Так вышло, что всё зависит от ситуации.",It so happened that it depends on the situation.,"Так вышло, что мы справимся.",It so happened that we'll manage.,"Так вышло, что всё зависит от ситуации.",It so happened that it depends on the situation.,"Так вышло, что я не хочу спорить.",It so happened that I don't want to argue.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L054.m4a",SoarSystem::L054
55,"(кто-то) реально понимает, что…",(someone) really understands that…,(кому-то) надо + инфинитив,(someone) needs to…,"я реально понимает, что она права.",I really understands that she's right.,"она реально понимает, что это хорошая идея.",she really understands that it's a good idea.,"ты реально понимает, что мы справимся.",you really understands that we'll manage.,"он реально понимает, что я не хочу спорить.",he really understands that I don't want to argue.,"мы реально понимает, что я не хочу спорить.",we really understands that I don't want to argue.,им надо записать аудио,they needs to record audio,тебе надо перестать откладывать,you needs to stop procrastinating,ей надо поговорить с ней,she needs to talk to her,ему надо проверить это,he needs to check it,нам надо начать учиться,we needs to start studying,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L055.m4a",SoarSystem::L055
56,"(кто-то) боится, что…",(someone) is afraid that…,(кому-то) не хочется + инфинитив,(someone) doesn't feel like…,"мы боимся, что мне нужно больше времени.",we is afraid that I need more time.,"они боятся, что всё зависит от ситуации.",they is afraid that it depends on the situation.,"она боится, что мне нужно больше времени.",she is afraid that I need more time.,"я боюсь, что я не хочу спорить.",I is afraid that I don't want to argue.,"он боится, что он просто устал.",he is afraid that he's just tired.,мне не хочется выйти на прогулку,I doesn't feel like go for a walk,им не хочется поговорить с ним,they doesn't feel like talk to him,тебе не хочется продолжить учиться?,you doesn't feel like continue studying,ему не хочется перестать откладывать,he doesn't feel like stop procrastinating,ей не хочется поговорить с ней,she doesn't feel like talk to her,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L056.m4a",SoarSystem::L056
57,"Если получится,…","If it works out,…","(кто-то) вроде знает, что…",(someone) kind of knows that…,"Как только я начну, станет легче.","As soon as I start, it gets easier.","Пока я ем, мне нужен контент.","While I eat, I need content.","Когда я прихожу домой, я сразу тянусь к телефону.","When I get home, I reach for my phone.","Хотя я устал(а), я всё равно начну.","Although I'm tired, I'll still start.","До того как я усну, я сделаю 5 минут.","Before I fall asleep, I'll do 5 minutes.","мы вроде знает, что я не хочу спорить.",we kind of knows that I don't want to argue.,"ты вроде знает, что это нормально?",you kind of knows that it's normal.,"я вроде знает, что это реально помогает.",I kind of knows that it really helps.,"он вроде знает, что она права.",he kind of knows that she's right.,"они вроде знает, что это нормально.",they kind of knows that it's normal.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L057.m4a",SoarSystem::L057
58,Где?,Where?,"(кто-то) понимает, как…",(someone) understands how…,Можно вопрос? Я запутался/запуталась.,Can I ask a question? I'm confused.,Что ты имеешь в виду?,What do you mean?,"Можно ещё раз, но помедленнее?","Can you repeat, but slower?",Как сказать «мне лень» по-русски?,How do you say 'I can't be bothered' in Russian?,Что это значит в обычной речи?,What does this mean in everyday speech?,"она понимает, как как это сказать по-русски.",she understands how how to say it in Russian.,"они понимают, как как это сказать по-русски.",they understands how how to say it in Russian.,"мы понимаем, как как это сказать по-русски.",we understands how how to say it in Russian.,"он понимает, как как лучше начать.",he understands how how best to start.,"ты понимаешь, как как лучше начать.",you understands how how best to start.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L058.m4a",SoarSystem::L058
59,"(кто-то) не думает, что…",(someone) doesn't think that…,"(кто-то) не понимает, как…",(someone) doesn't understand how…,"они не думает, что всё зависит от ситуации.",they doesn't think that it depends on the situation.,"мы не думает, что всё зависит от ситуации.",we doesn't think that it depends on the situation.,"она не думает, что я не хочу спорить.",she doesn't think that I don't want to argue.,"он не думает, что это нормально.",he doesn't think that it's normal.,"ты не думает, что он просто устал.",you doesn't think that he's just tired.,"она не понимает, как как это сказать по-русски.",she doesn't understand how how to say it in Russian.,"он не понимает, как как это сказать по-русски.",he doesn't understand how how to say it in Russian.,"я не понимает, как как лучше начать.",I doesn't understand how how best to start.,"мы не понимает, как как это сказать по-русски.",we doesn't understand how how to say it in Russian.,"они не понимает, как как это сказать по-русски.",they doesn't understand how how to say it in Russian.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L059.m4a",SoarSystem::L059
60,"(кто-то) сказал(а), что…",(someone) said that…,"(кто-то) точно понимает, что…",(someone) definitely understands that…,"мы сказал(а), что всё зависит от ситуации.",we said that it depends on the situation.,"ты сказал(а), что это не так страшно?",you said that it's not that scary.,"я сказал(а), что я не хочу спорить.",I said that I don't want to argue.,"она сказал(а), что мне нужно больше времени.",she said that I need more time.,"они сказал(а), что я не хочу спорить.",they said that I don't want to argue.,"я точно понимает, что всё зависит от ситуации.",I definitely understands that it depends on the situation.,"он точно понимает, что это не так страшно.",he definitely understands that it's not that scary.,"они точно понимает, что я не хочу спорить.",they definitely understands that I don't want to argue.,"ты точно понимает, что это хорошая идея.",you definitely understands that it's a good idea.,"мы точно понимает, что мы справимся.",we definitely understands that we'll manage.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L060.m4a",SoarSystem::L060
61,"(кто-то) не думает, что…",(someone) doesn't think that…,"(кто-то) наверное понимает, что…",(someone) probably understands that…,"они не думает, что мы справимся.",they doesn't think that we'll manage.,"мы не думает, что он просто устал.",we doesn't think that he's just tired.,"он не думает, что она права.",he doesn't think that she's right.,"я не думает, что она права.",I doesn't think that she's right.,"она не думает, что это хорошая идея.",she doesn't think that it's a good idea.,"мы наверное понимает, что он просто устал.",we probably understands that he's just tired.,"она наверное понимает, что это реально помогает.",she probably understands that it really helps.,"они наверное понимает, что это хорошая идея.",they probably understands that it's a good idea.,"он наверное понимает, что я не хочу спорить.",he probably understands that I don't want to argue.,"ты наверное понимает, что она права.",you probably understands that she's right.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L061.m4a",SoarSystem::L061
62,"В любом случае,…","In any case,…","Пока (кто-то)…, (кто-то)…","While (someone)…, (someone)…","До того как я усну, я сделаю 5 минут.","Before I fall asleep, I'll do 5 minutes.","Как только я начну, станет легче.","As soon as I start, it gets easier.","Пока я ем, мне нужен контент.","While I eat, I need content.","После того как я поем, я запишу короткое аудио.","After I eat, I'll record a short audio.","Хотя я устал(а), я всё равно начну.","Although I'm tired, I'll still start.","Когда я прихожу домой, я сразу тянусь к телефону.","When I get home, I reach for my phone.","Как только я начну, станет легче.","As soon as I start, it gets easier.","Хотя я устал(а), я всё равно начну.","Although I'm tired, I'll still start.","После того как я поем, я запишу короткое аудио.","After I eat, I'll record a short audio.","До того как я усну, я сделаю 5 минут.","Before I fall asleep, I'll do 5 minutes.","Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L062.m4a",SoarSystem::L062
63,"В любом случае,…","In any case,…","(кто-то) рад(а), что…",(someone) is glad that…,"Когда я прихожу домой, я сразу тянусь к телефону.","When I get home, I reach for my phone.","После того как я поем, я запишу короткое аудио.","After I eat, I'll record a short audio.","Как только я начну, станет легче.","As soon as I start, it gets easier.","Если я начну сейчас, то успею.","If I start now, I'll make it.","Хотя я устал(а), я всё равно начну.","Although I'm tired, I'll still start.","мы рад(а), что это не так страшно.",we is glad that it's not that scary.,"ты рад(а), что это нормально?",you is glad that it's normal.,"я рад(а), что всё зависит от ситуации.",I is glad that it depends on the situation.,"они рад(а), что мне нужно больше времени.",they is glad that I need more time.,"он рад(а), что это реально помогает.",he is glad that it really helps.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L063.m4a",SoarSystem::L063
64,"(кто-то) не понимает, как…",(someone) doesn't understand how…,"(кто-то) помнит, что…",(someone) remembers that…,"я не понимает, как как это сказать по-русски.",I doesn't understand how how to say it in Russian.,"он не понимает, как как лучше начать.",he doesn't understand how how best to start.,"они не понимает, как как лучше начать.",they doesn't understand how how best to start.,"мы не понимает, как как это сказать по-русски.",we doesn't understand how how to say it in Russian.,"она не понимает, как как это сказать по-русски.",she doesn't understand how how to say it in Russian.,"она помнит, что мне нужно больше времени.",she remembers that I need more time.,"он помнит, что всё зависит от ситуации.",he remembers that it depends on the situation.,"мы помнит, что я не хочу спорить.",we remembers that I don't want to argue.,"я помнит, что она права.",I remembers that she's right.,"они помнит, что я не хочу спорить.",they remembers that I don't want to argue.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L064.m4a",SoarSystem::L064
65,"Похоже, что…",It looks like…,"(кто-то) подозревает, что…",(someone) suspects that…,"Похоже, что мы справимся.",It looks like we'll manage.,"Похоже, что он просто устал.",It looks like he's just tired.,"Похоже, что это хорошая идея.",It looks like it's a good idea.,"Похоже, что она права.",It looks like she's right.,"Похоже, что это хорошая идея.",It looks like it's a good idea.,"мы подозревает, что это хорошая идея.",we suspects that it's a good idea.,"она подозревает, что мы справимся.",she suspects that we'll manage.,"он подозревает, что всё зависит от ситуации.",he suspects that it depends on the situation.,"они подозревает, что это нормально.",they suspects that it's normal.,"я подозревает, что мы справимся.",I suspects that we'll manage.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L065.m4a",SoarSystem::L065
66,"(кто-то) не понимает, как…",(someone) doesn't understand how…,"(кто-то) подозревает, что…",(someone) suspects that…,"он не понимает, как как лучше начать.",he doesn't understand how how best to start.,"они не понимает, как как лучше начать.",they doesn't understand how how best to start.,"я не понимает, как как лучше начать.",I doesn't understand how how best to start.,"ты не понимает, как как это сказать по-русски.",you doesn't understand how how to say it in Russian.,"она не понимает, как как лучше начать.",she doesn't understand how how best to start.,"они подозревает, что это нормально.",they suspects that it's normal.,"он подозревает, что я не хочу спорить.",he suspects that I don't want to argue.,"мы подозревает, что я не хочу спорить.",we suspects that I don't want to argue.,"я подозревает, что она права.",I suspects that she's right.,"ты подозревает, что это нормально.",you suspects that it's normal.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L066.m4a",SoarSystem::L066
67,"До того как… , …","Before…, …","Пока (кто-то)…, (кто-то)…","While (someone)…, (someone)…","Если получится, я сделаю минимум.","If it works out, I'll do the minimum.","Если я начну сейчас, то успею.","If I start now, I'll make it.","Когда я прихожу домой, я сразу тянусь к телефону.","When I get home, I reach for my phone.","Пока я ем, мне нужен контент.","While I eat, I need content.","Как только я начну, станет легче.","As soon as I start, it gets easier.","Если получится, я сделаю минимум.","If it works out, I'll do the minimum.","После того как я поем, я запишу короткое аудио.","After I eat, I'll record a short audio.","Пока я ем, мне нужен контент.","While I eat, I need content.","Если я начну сейчас, то успею.","If I start now, I'll make it.","Когда я прихожу домой, я сразу тянусь к телефону.","When I get home, I reach for my phone.","Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L067.m4a",SoarSystem::L067
68,"(кто-то) не думает, что…",(someone) doesn't think that…,"Когда (кто-то)…, (кто-то)…","When (someone)…, (someone)…","они не думает, что это реально помогает.",they doesn't think that it really helps.,"ты не думает, что она права?",you doesn't think that she's right.,"он не думает, что это реально помогает.",he doesn't think that it really helps.,"она не думает, что она права.",she doesn't think that she's right.,"я не думает, что мы справимся.",I doesn't think that we'll manage.,"Хотя я устал(а), я всё равно начну.","Although I'm tired, I'll still start.","Как только я начну, станет легче.","As soon as I start, it gets easier.","Пока я ем, мне нужен контент.","While I eat, I need content.","Когда я прихожу домой, я сразу тянусь к телефону.","When I get home, I reach for my phone.","Если получится, я сделаю минимум.","If it works out, I'll do the minimum.","Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L068.m4a",SoarSystem::L068
69,"Когда (кто-то)…, (кто-то)…","When (someone)…, (someone)…","Похоже, что…",It looks like…,"Как только я начну, станет легче.","As soon as I start, it gets easier.","Если я начну сейчас, то успею.","If I start now, I'll make it.","После того как я поем, я запишу короткое аудио.","After I eat, I'll record a short audio.","Если получится, я сделаю минимум.","If it works out, I'll do the minimum.","Хотя я устал(а), я всё равно начну.","Although I'm tired, I'll still start.","Похоже, что это нормально.",It looks like it's normal.,"Похоже, что мне нужно больше времени.",It looks like I need more time.,"Похоже, что она права.",It looks like she's right.,"Похоже, что она права.",It looks like she's right.,"Похоже, что это не так страшно.",It looks like it's not that scary.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L069.m4a",SoarSystem::L069
70,"(кто-то) реально знает, что…",(someone) really knows that…,"(кто-то) помнит, что…",(someone) remembers that…,"я реально знает, что он просто устал.",I really knows that he's just tired.,"он реально знает, что это хорошая идея.",he really knows that it's a good idea.,"она реально знает, что это реально помогает.",she really knows that it really helps.,"ты реально знает, что мне нужно больше времени.",you really knows that I need more time.,"мы реально знает, что это нормально.",we really knows that it's normal.,"они помнит, что это реально помогает.",they remembers that it really helps.,"ты помнит, что всё зависит от ситуации?",you remembers that it depends on the situation.,"он помнит, что это не так страшно.",he remembers that it's not that scary.,"она помнит, что мы справимся.",she remembers that we'll manage.,"мы помнит, что это не так страшно.",we remembers that it's not that scary.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L070.m4a",SoarSystem::L070
71,"(кто-то) реально знает, что…",(someone) really knows that…,Хотя…,Although…,"мы реально знает, что я не хочу спорить.",we really knows that I don't want to argue.,"ты реально знает, что это нормально?",you really knows that it's normal.,"он реально знает, что это хорошая идея.",he really knows that it's a good idea.,"я реально знает, что это нормально.",I really knows that it's normal.,"они реально знает, что это реально помогает.",they really knows that it really helps.,"Хотя я устал(а), я всё равно начну.","Although I'm tired, I'll still start.","После того как я поем, я запишу короткое аудио.","After I eat, I'll record a short audio.","Пока я ем, мне нужен контент.","While I eat, I need content.","Когда я прихожу домой, я сразу тянусь к телефону.","When I get home, I reach for my phone.","Как только я начну, станет легче.","As soon as I start, it gets easier.","Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L071.m4a",SoarSystem::L071
72,"(кто-то) наверное понимает, что…",(someone) probably understands that…,"(кто-то) помнит, что…",(someone) remembers that…,"она наверное понимает, что это не так страшно.",she probably understands that it's not that scary.,"мы наверное понимает, что это нормально.",we probably understands that it's normal.,"он наверное понимает, что это нормально.",he probably understands that it's normal.,"я наверное понимает, что это не так страшно.",I probably understands that it's not that scary.,"ты наверное понимает, что я не хочу спорить.",you probably understands that I don't want to argue.,"ты помнит, что он просто устал.",you remembers that he's just tired.,"мы помнит, что это хорошая идея.",we remembers that it's a good idea.,"он помнит, что он просто устал.",he remembers that he's just tired.,"они помнит, что это реально помогает.",they remembers that it really helps.,"она помнит, что всё зависит от ситуации.",she remembers that it depends on the situation.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L072.m4a",SoarSystem::L072
73,"(кто-то) не думает, что…",(someone) doesn't think that…,"Пока (кто-то)…, (кто-то)…","While (someone)…, (someone)…","мы не думает, что она права.",we doesn't think that she's right.,"я не думает, что мне нужно больше времени.",I doesn't think that I need more time.,"она не думает, что он просто устал.",she doesn't think that he's just tired.,"ты не думает, что это реально помогает.",you doesn't think that it really helps.,"они не думает, что это реально помогает.",they doesn't think that it really helps.,"Хотя я устал(а), я всё равно начну.","Although I'm tired, I'll still start.","Как только я начну, станет легче.","As soon as I start, it gets easier.","До того как я усну, я сделаю 5 минут.","Before I fall asleep, I'll do 5 minutes.","Пока я ем, мне нужен контент.","While I eat, I need content.","Если получится, я сделаю минимум.","If it works out, I'll do the minimum.","Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L073.m4a",SoarSystem::L073
74,"Пока (кто-то)…, (кто-то)…","While (someone)…, (someone)…","(кто-то) не знает, как…",(someone) doesn't know how…,"Когда я прихожу домой, я сразу тянусь к телефону.","When I get home, I reach for my phone.","До того как я усну, я сделаю 5 минут.","Before I fall asleep, I'll do 5 minutes.","Хотя я устал(а), я всё равно начну.","Although I'm tired, I'll still start.","Как только я начну, станет легче.","As soon as I start, it gets easier.","Если я начну сейчас, то успею.","If I start now, I'll make it.","я не знает, как как это сказать по-русски.",I doesn't know how how to say it in Russian.,"они не знает, как как лучше начать.",they doesn't know how how best to start.,"он не знает, как как это сказать по-русски.",he doesn't know how how to say it in Russian.,"она не знает, как как это сказать по-русски.",she doesn't know how how to say it in Russian.,"ты не знает, как как это сказать по-русски.",you doesn't know how how to say it in Russian.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L074.m4a",SoarSystem::L074
75,"До того как… , …","Before…, …","(кто-то) реально знает, что…",(someone) really knows that…,"До того как я усну, я сделаю 5 минут.","Before I fall asleep, I'll do 5 minutes.","Хотя я устал(а), я всё равно начну.","Although I'm tired, I'll still start.","Когда я прихожу домой, я сразу тянусь к телефону.","When I get home, I reach for my phone.","Как только я начну, станет легче.","As soon as I start, it gets easier.","После того как я поем, я запишу короткое аудио.","After I eat, I'll record a short audio.","мы реально знает, что он просто устал.",we really knows that he's just tired.,"они реально знает, что мне нужно больше времени.",they really knows that I need more time.,"ты реально знает, что это нормально.",you really knows that it's normal.,"я реально знает, что это реально помогает.",I really knows that it really helps.,"он реально знает, что всё зависит от ситуации.",he really knows that it depends on the situation.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L075.m4a",SoarSystem::L075
76,"(кто-то) не знает, как…",(someone) doesn't know how…,"Дело в том, что…",The thing is that…,"она не знает, как как лучше начать.",she doesn't know how how best to start.,"ты не знает, как как лучше начать?",you doesn't know how how best to start.,"мы не знает, как как это сказать по-русски.",we doesn't know how how to say it in Russian.,"он не знает, как как лучше начать.",he doesn't know how how best to start.,"они не знает, как как это сказать по-русски.",they doesn't know how how to say it in Russian.,"Дело в том, что это хорошая идея.",The thing is that it's a good idea.,"Дело в том, что мы справимся.",The thing is that we'll manage.,"Дело в том, что это не так страшно.",The thing is that it's not that scary.,"Дело в том, что мне нужно больше времени.",The thing is that I need more time.,"Дело в том, что он просто устал.",The thing is that he's just tired.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L076.m4a",SoarSystem::L076
77,Хотя…,Although…,"Пока (кто-то)…, (кто-то)…","While (someone)…, (someone)…","Хотя я устал(а), я всё равно начну.","Although I'm tired, I'll still start.","Если получится, я сделаю минимум.","If it works out, I'll do the minimum.","Когда я прихожу домой, я сразу тянусь к телефону.","When I get home, I reach for my phone.","До того как я усну, я сделаю 5 минут.","Before I fall asleep, I'll do 5 minutes.","Если я начну сейчас, то успею.","If I start now, I'll make it.","После того как я поем, я запишу короткое аудио.","After I eat, I'll record a short audio.","До того как я усну, я сделаю 5 минут.","Before I fall asleep, I'll do 5 minutes.","Если я начну сейчас, то успею.","If I start now, I'll make it.","Как только я начну, станет легче.","As soon as I start, it gets easier.","Когда я прихожу домой, я сразу тянусь к телефону.","When I get home, I reach for my phone.","Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L077.m4a",SoarSystem::L077
